"","Suburb","Address","Rooms","Type","Price","Method","SellerG","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude","Regionname","Propertycount","Year","Month","Avg_Price_Land","No_sold","no_sold_pr","new_count_prop","percent_new"
"19","Abbotsford","60 Stafford St",3,"h",1290000,"Property Sold","Biggin","25/02/2017",2.5,3067,3,1,1,168,124,1950,"Yarra",-37.8007,144.9958,"Northern Metropolitan",4019,25,2,7678.57142857143,1,82,6507,213
"20","Abbotsford","11/205 Gipps St",1,"u",470000,"Property Sold","Nelson","26/07/2016",2.5,3067,1,1,1,0,50,2013,"Yarra",-37.8055,144.9961,"Northern Metropolitan",4019,26,7,Inf,1,37,1792,817
"21","Abbotsford","47 Studley St",2,"h",1180000,"Property Sold","Jellis","27/11/2016",2.5,3067,2,1,0,162,91,1900,"Yarra",-37.8016,144.9956,"Northern Metropolitan",4019,27,11,7283.95061728395,1,103,6507,701
"22","Abbotsford","45 Yarra St",3,"h",1195000,"Sold Prior","Jellis","27/11/2016",2.5,3067,3,2,1,120,128,1998,"Yarra",-37.8022,144.9954,"Northern Metropolitan",4019,27,11,9958.33333333333,1,103,1079,701
"23","Abbotsford","200 Nicholson St",2,"h",1012500,"Property Sold","Nelson","28/05/2016",2.5,3067,2,1,0,182,82,1900,"Yarra",-37.8021,144.9976,"Northern Metropolitan",4019,28,5,5563.18681318681,1,74,6507,817
"24","Abbotsford","27 Charles St",2,"h",1030000,"Property Sold","Biggin","30/07/2016",2.5,3067,2,1,1,172,81,1930,"Yarra",-37.8086,144.9946,"Northern Metropolitan",4019,30,7,5988.37209302326,1,56,6507,213
"25","Airport West","154 Halsey Rd",3,"t",840000,"Passed In","Nelson","3/09/2016",13.5,3042,3,2,1,303,225,2016,"Moonee Valley",-37.718,144.878,"Western Metropolitan",3464,3,9,2772.27722772277,1,43,134,817
"26","Airport West","50 Bedford St",3,"h",730000,"Vendor Bid","Nelson","3/12/2016",13.5,3042,3,2,1,0,145,1965,"Moonee Valley",-37.7203,144.8755,"Western Metropolitan",3464,3,12,Inf,1,57,728,817
"27","Airport West","50 Bedford St",3,"h",770000,"Sold Prior","Nelson","4/03/2017",13.5,3042,3,2,1,0,145,1965,"Moonee Valley",-37.7203,144.8755,"Western Metropolitan",3464,4,3,Inf,1,74,1079,817
"28","Airport West","23 Hart St",2,"h",603000,"Property Sold","Nelson","4/03/2017",13.5,3042,2,1,1,272,84,1950,"Moonee Valley",-37.7294,144.888,"Western Metropolitan",3464,4,3,2216.91176470588,1,74,6507,817
"29","Airport West","1/80 Hawker St",3,"t",7e+05,"Property Sold","Brad","4/03/2017",13.5,3042,3,2,2,239,134,2009,"Moonee Valley",-37.7218,144.8837,"Western Metropolitan",3464,4,3,2928.87029288703,1,74,723,172
"30","Airport West","1/37 Hillside Gr",3,"h",6e+05,"Property Sold","Maddison","4/03/2017",13.5,3042,2,1,1,290,116,1980,"Moonee Valley",-37.7273,144.8744,"Western Metropolitan",3464,4,3,2068.96551724138,1,74,6507,3
"31","Airport West","2/49 McIntosh St",2,"u",5e+05,"Vendor Bid","Barry","4/03/2017",13.5,3042,2,1,1,168,86,2011,"Moonee Valley",-37.7215,144.8864,"Western Metropolitan",3464,4,3,2976.19047619048,1,74,364,467
"32","Airport West","11 Harrington Rd",6,"h",725000,"Sold Prior","Barry","7/05/2016",13.5,3042,6,3,2,976,186,1980,"Moonee Valley",-37.7239,144.8735,"Western Metropolitan",3464,7,5,742.827868852459,1,49,1079,467
"33","Airport West","2/252 Parer Rd",2,"t",450000,"Property Sold","Barry","7/05/2016",13.5,3042,2,1,1,110,90,2015,"Moonee Valley",-37.7216,144.871,"Western Metropolitan",3464,7,5,4090.90909090909,1,49,723,467
"34","Airport West","3/19 Hart St",2,"u",515000,"Property Sold","Barry","7/11/2016",13.5,3042,2,1,1,141,73,2013,"Moonee Valley",-37.7298,144.8883,"Western Metropolitan",3464,7,11,3652.48226950355,1,43,1792,467
"35","Airport West","2/62 Clydesdale Rd",2,"u",530000,"Property Sold","Nelson","10/09/2016",13.5,3042,2,1,1,120,94,2012,"Moonee Valley",-37.7234,144.8792,"Western Metropolitan",3464,10,9,4416.66666666667,1,50,1792,817
"36","Airport West","3 Deidre Ct",3,"h",895000,"Passed In","Rendina","10/09/2016",13.5,3042,3,1,6,1063,133,1975,"Moonee Valley",-37.7249,144.8728,"Western Metropolitan",3464,10,9,841.956726246472,1,50,1069,37
"37","Airport West","13 Etzel St",3,"h",805000,"Property Sold","Nelson","10/12/2016",13.5,3042,3,1,1,0,105,1950,"Moonee Valley",-37.7217,144.8783,"Western Metropolitan",3464,10,12,Inf,1,74,6507,817
"38","Airport West","1/43 Cameron St",3,"u",752000,"Property Sold","Nelson","11/02/2017",13.5,3042,3,1,1,265,130,1993,"Moonee Valley",-37.7302,144.8855,"Western Metropolitan",3464,11,2,2837.7358490566,1,29,1792,817
"39","Airport West","2/40 Earl St",3,"t",7e+05,"Passed In","Brad","15/10/2016",13.5,3042,3,2,2,165,133,2009,"Moonee Valley",-37.727,144.887,"Western Metropolitan",3464,15,10,4242.42424242424,1,72,134,172
"40","Airport West","180 Parer Rd",3,"h",830000,"Property Sold","Barry","16/04/2016",13.5,3042,3,1,2,971,113,1960,"Moonee Valley",-37.7186,144.876,"Western Metropolitan",3464,16,4,854.788877445932,1,63,6507,467
"41","Airport West","174 Parer Rd",2,"h",675000,"Property Sold","Barry","16/07/2016",13.5,3042,2,1,1,612,100,1975,"Moonee Valley",-37.7187,144.8765,"Western Metropolitan",3464,16,7,1102.94117647059,1,45,6507,467
"42","Airport West","138 Victory Rd",3,"h",1042000,"Property Sold","Nelson","16/07/2016",13.5,3042,3,2,5,612,174,1950,"Moonee Valley",-37.7173,144.8796,"Western Metropolitan",3464,16,7,1702.61437908497,1,45,6507,817
"43","Airport West","6 Kittyhawk St",4,"h",773000,"Property Sold","Brad","17/09/2016",13.5,3042,5,3,4,531,309,1980,"Moonee Valley",-37.7263,144.8679,"Western Metropolitan",3464,17,9,1455.74387947269,1,49,6507,172
"44","Airport West","478 Fullarton Rd",3,"h",810000,"Passed In","Barry","18/03/2017",13.5,3042,3,3,2,555,192,1980,"Moonee Valley",-37.7285,144.8694,"Western Metropolitan",3464,18,3,1459.45945945946,1,68,1069,467
"45","Airport West","144 Marshall Rd",3,"h",715000,"Property Sold","Rendina","18/03/2017",13.5,3042,3,2,2,422,126,1995,"Moonee Valley",-37.7164,144.8792,"Western Metropolitan",3464,18,3,1694.31279620853,1,68,6507,37
"46","Airport West","3/7 South Rd",3,"t",540000,"Sold Prior","Nelson","18/06/2016",13.5,3042,2,2,1,161,101,2010,"Moonee Valley",-37.7231,144.8802,"Western Metropolitan",3464,18,6,3354.03726708075,1,53,143,817
"47","Airport West","37 North St",3,"t",825000,"Sold Prior","Barry","19/11/2016",13.5,3042,3,2,1,293,102,1960,"Moonee Valley",-37.72,144.8776,"Western Metropolitan",3464,19,11,2815.69965870307,1,60,143,467
"48","Airport West","10 Hilbert Rd",3,"h",685000,"Property Sold","Barry","22/05/2016",13.5,3042,3,1,1,579,113,1975,"Moonee Valley",-37.7226,144.8733,"Western Metropolitan",3464,22,5,1183.07426597582,1,46,6507,467
"49","Airport West","85 Roberts Rd",4,"h",9e+05,"Property Sold","Harcourts","27/11/2016",13.5,3042,4,2,3,628,146,1975,"Moonee Valley",-37.7256,144.8739,"Western Metropolitan",3464,27,11,1433.12101910828,1,75,6507,87
"50","Albert Park","105 Kerferd Rd",2,"h",1275000,"Property Sold","hockingstuart","3/09/2016",3.3,3206,2,1,0,120,82,1900,"Port Phillip",-37.8459,144.9555,"Southern Metropolitan",3280,3,9,10625,1,86,6507,582
"51","Albert Park","112 Beaconsfield Pde",3,"h",2850000,"Passed In","Buxton","4/03/2017",3.3,3206,3,2,0,211,198,1890,"Port Phillip",-37.8481,144.9499,"Southern Metropolitan",3280,4,3,13507.1090047393,1,140,1069,313
"52","Albert Park","94 Graham St",3,"h",1850000,"Property Sold","Greg","4/03/2017",3.3,3206,3,2,0,128,133,1890,"Port Phillip",-37.8452,144.9488,"Southern Metropolitan",3280,4,3,14453.125,1,140,6507,138
"53","Albert Park","396 Montague St",2,"h",1436000,"Property Sold","RT","4/03/2017",3.3,3206,2,1,0,130,81,1900,"Port Phillip",-37.8431,144.9565,"Southern Metropolitan",3280,4,3,11046.1538461538,1,140,6507,79
"54","Albert Park","104 Richardson St",4,"h",2300000,"Property Sold","Marshall","7/05/2016",3.3,3206,4,2,1,153,180,1880,"Port Phillip",-37.8447,144.9523,"Southern Metropolitan",3280,7,5,15032.6797385621,1,115,6507,347
"55","Albert Park","1 Moubray St",3,"h",1800000,"Vendor Bid","Greg","7/11/2016",3.3,3206,3,2,1,132,159,1996,"Port Phillip",-37.8415,144.952,"Southern Metropolitan",3280,7,11,13636.3636363636,1,71,728,138
"56","Albert Park","29 Faussett St",2,"h",2120000,"Property Sold","Greg","10/09/2016",3.3,3206,2,1,1,199,107,1900,"Port Phillip",-37.8422,144.9554,"Southern Metropolitan",3280,10,9,10653.2663316583,1,104,6507,138
"57","Albert Park","24 Kerferd Pl",3,"h",1800000,"Property Sold","Marshall","10/09/2016",3.3,3206,3,2,1,90,122,1900,"Port Phillip",-37.8421,144.9571,"Southern Metropolitan",3280,10,9,20000,1,104,6507,347
"58","Albert Park","2 Dundas Pl",3,"h",2615000,"Property Sold","Cayzer","10/12/2016",3.3,3206,3,2,1,177,181,1880,"Port Phillip",-37.8415,144.9585,"Southern Metropolitan",3280,10,12,14774.011299435,1,119,6507,21
"59","Albert Park","4a Gatehouse La",3,"h",1370000,"Property Sold","Greg","12/06/2016",3.3,3206,3,2,2,0,85,2000,"Port Phillip",-37.8451,144.9511,"Southern Metropolitan",3280,12,6,Inf,1,20,6507,138
"60","Albert Park","65 Graham St",2,"h",1322500,"Property Sold","Greg","15/10/2016",3.3,3206,2,1,0,149,98,1890,"Port Phillip",-37.8443,144.9481,"Southern Metropolitan",3280,15,10,8875.8389261745,1,124,6507,138
"61","Albert Park","364 Montague St",2,"h",1562500,"Property Sold","Greg","15/10/2016",3.3,3206,2,1,0,141,83,1890,"Port Phillip",-37.8424,144.9562,"Southern Metropolitan",3280,15,10,11081.5602836879,1,124,6507,138
"62","Albert Park","86 Mills St",3,"h",2e+06,"Vendor Bid","RT","16/04/2016",3.3,3206,3,2,1,211,147,1900,"Port Phillip",-37.847,144.9575,"Southern Metropolitan",3280,16,4,9478.67298578199,1,72,728,79
"63","Albert Park","97 Page St",3,"h",3010000,"Property Sold","Greg","18/03/2017",3.3,3206,3,2,0,147,146,1890,"Port Phillip",-37.8473,144.9551,"Southern Metropolitan",3280,18,3,20476.1904761905,1,118,6507,138
"64","Albert Park","55 Withers St",4,"h",2800000,"Vendor Bid","Cayzer","18/06/2016",3.3,3206,4,3,1,327,254,1910,"Port Phillip",-37.8467,144.9475,"Southern Metropolitan",3280,18,6,8562.69113149847,1,108,728,21
"65","Albert Park","55 Merton St",3,"h",2100000,"Sold Prior","Marshall","23/04/2016",3.3,3206,2,1,1,120,123,1900,"Port Phillip",-37.8427,144.9546,"Southern Metropolitan",3280,23,4,17500,1,26,1079,347
"66","Albert Park","49 Page St",3,"h",2e+06,"Passed In","Marshall","24/09/2016",3.3,3206,3,1,1,238,131,1890,"Port Phillip",-37.8461,144.9528,"Southern Metropolitan",3280,24,9,8403.36134453782,1,74,1069,347
"67","Albert Park","13/52 Moubray St",1,"u",442500,"Property Sold","Marshall","25/02/2017",3.3,3206,1,1,0,0,34,1970,"Port Phillip",-37.8421,144.9517,"Southern Metropolitan",3280,25,2,Inf,1,151,1792,347
"68","Albert Park","115 Page St",4,"h",4735000,"Property Sold","Marshall","25/02/2017",3.3,3206,4,2,1,330,207,1910,"Port Phillip",-37.8477,144.9558,"Southern Metropolitan",3280,25,2,14348.4848484848,1,151,6507,347
"69","Albert Park","27 Barrett St",4,"h",2140000,"Property Sold","Greg","27/06/2016",3.3,3206,3,2,1,183,145,1880,"Port Phillip",-37.8434,144.9495,"Southern Metropolitan",3280,27,6,11693.9890710383,1,75,6507,138
"70","Albert Park","6 Brooke St",2,"h",980000,"Property Sold","Greg","28/05/2016",3.3,3206,2,1,0,79,68,1890,"Port Phillip",-37.8387,144.9519,"Southern Metropolitan",3280,28,5,12405.0632911392,1,111,6507,138
"71","Albert Park","17 Reed St",3,"h",1740000,"Passed In","Marshall","28/08/2016",3.3,3206,3,2,2,147,134,1890,"Port Phillip",-37.8448,144.9453,"Southern Metropolitan",3280,28,8,11836.7346938776,1,105,1069,347
"72","Albert Park","9 Durham St",1,"h",985000,"Property Sold","Marshall","30/07/2016",3.3,3206,1,1,0,81,54,1900,"Port Phillip",-37.8411,144.9497,"Southern Metropolitan",3280,30,7,12160.4938271605,1,63,6507,347
"73","Alphington","6 Smith St",4,"h",2e+06,"Property Sold","Brace","3/09/2016",6.4,3078,3,2,4,853,263,1930,"Darebin",-37.7707,145.0318,"Northern Metropolitan",2211,3,9,2344.66588511137,1,60,6507,1
"74","Alphington","44 Shiers St",4,"h",1717500,"Property Sold","Collins","8/10/2016",6.4,3078,4,2,1,599,203,1925,"Darebin",-37.7717,145.031,"Northern Metropolitan",2211,8,10,2867.27879799666,1,96,6507,24
"75","Alphington","83 Fulham Rd",5,"h",2840000,"Property Sold","Nelson","12/06/2016",6.4,3078,5,4,4,809,165,1910,"Darebin",-37.775,145.0268,"Northern Metropolitan",2211,12,6,3510.50679851669,1,13,6507,817
"76","Alphington","3/19 Harker St",2,"u",525500,"Property Sold","Miles","12/11/2016",6.4,3078,2,1,1,88,60,1960,"Darebin",-37.7791,145.0306,"Northern Metropolitan",2211,12,11,5971.59090909091,1,82,1792,84
"77","Alphington","4/2 Miller St",2,"t",805000,"Property Sold","Miles","12/11/2016",6.4,3078,2,2,3,155,140,2004,"Darebin",-37.7804,145.0308,"Northern Metropolitan",2211,12,11,5193.54838709677,1,82,723,84
"78","Alphington","10 Bennett St",4,"h",1830000,"Property Sold","Nelson","19/11/2016",6.4,3078,4,2,2,606,112,1970,"Darebin",-37.7743,145.0316,"Northern Metropolitan",2211,19,11,3019.80198019802,1,79,6507,817
"79","Alphington","38 Bennett St",4,"h",2100000,"Property Sold","Nelson","19/11/2016",6.4,3078,4,2,2,575,271,2008,"Darebin",-37.7723,145.0319,"Northern Metropolitan",2211,19,11,3652.17391304348,1,79,6507,817
"80","Alphington","2c Hamilton St",3,"h",865000,"Sold Prior","hockingstuart","22/05/2016",6.4,3078,3,1,1,180,131,2010,"Darebin",-37.7802,145.0243,"Northern Metropolitan",2211,22,5,4805.55555555556,1,62,1079,582
"81","Alphington","5/5 Yarana Rd",2,"u",390000,"Vendor Bid","Nelson","22/05/2016",6.4,3078,2,1,1,0,60,1960,"Darebin",-37.7773,145.0314,"Northern Metropolitan",2211,22,5,Inf,1,62,364,817
"82","Alphington","1/14 Fulham Rd",2,"u",512000,"Property Sold","Love","25/02/2017",6.4,3078,2,1,1,0,61,1965,"Darebin",-37.7805,145.0262,"Northern Metropolitan",2211,25,2,Inf,1,82,1792,52
"83","Alphington","11 Margaret Gr",4,"h",1900000,"Sold Prior","McGrath","27/11/2016",6.4,3078,4,2,2,556,272,1930,"Yarra",-37.7844,145.0225,"Northern Metropolitan",2211,27,11,3417.26618705036,1,103,1079,105
"84","Alphington","42 Shiers St",4,"h",1950000,"Property Sold","Jellis","30/07/2016",6.4,3078,4,2,3,589,210,1920,"Darebin",-37.7719,145.0309,"Northern Metropolitan",2211,30,7,3310.6960950764,1,56,6507,701
"85","Altona","158 Queen St",3,"h",520000,"Vendor Bid","Greg","3/09/2016",13.8,3018,3,2,1,352,242,2015,"Hobsons Bay",-37.87,144.825,"Western Metropolitan",5301,3,9,1477.27272727273,1,43,728,138
"86","Altona","59 Bracken Gr",5,"h",1525000,"Property Sold","Greg","3/12/2016",13.8,3018,5,3,3,729,268,2005,"Hobsons Bay",-37.8721,144.8105,"Western Metropolitan",5301,3,12,2091.90672153635,1,57,6507,138
"87","Altona","1/123 Blyth St",2,"t",720000,"Property Sold","hockingstuart","4/02/2016",13.8,3018,2,1,2,292,125,2013,"Hobsons Bay",-37.8687,144.8197,"Western Metropolitan",5301,4,2,2465.75342465753,1,10,723,582
"88","Altona","4 Blyth St",3,"h",1120000,"Property Sold","Barlow","4/03/2017",13.8,3018,3,1,2,506,120,1930,"Hobsons Bay",-37.8693,144.8375,"Western Metropolitan",5301,4,3,2213.43873517787,1,74,6507,10
"89","Altona","29 Rose St",4,"h",1780000,"Sold Prior","Greg","4/06/2016",13.8,3018,4,3,6,1057,220,1962,"Hobsons Bay",-37.8681,144.819,"Western Metropolitan",5301,4,6,1684.01135288553,1,44,1079,138
"90","Altona","1/170 Blyth St",3,"u",630000,"Property Sold","Barlow","6/08/2016",13.8,3018,2,1,2,311,94,1955,"Hobsons Bay",-37.8702,144.8143,"Western Metropolitan",5301,6,8,2025.72347266881,1,29,1792,10
"91","Altona","156 Maidstone St",3,"h",660000,"Vendor Bid","Greg","7/05/2016",13.8,3018,3,1,1,602,123,1955,"Hobsons Bay",-37.8616,144.8116,"Western Metropolitan",5301,7,5,1096.34551495017,1,49,728,138
"92","Altona","1/136 Queen St",2,"u",580000,"Property Sold","Barlow","8/10/2016",13.8,3018,2,1,1,225,93,1988,"Hobsons Bay",-37.8696,144.827,"Western Metropolitan",5301,8,10,2577.77777777778,1,58,1792,10
"93","Altona","173 Queen St",3,"h",1335000,"Property Sold","hockingstuart","8/10/2016",13.8,3018,3,1,4,777,22,1953,"Hobsons Bay",-37.8697,144.8249,"Western Metropolitan",5301,8,10,1718.14671814672,1,58,6507,582
"94","Altona","3/26 Grieve Pde",2,"u",510000,"Property Sold","Village","10/09/2016",13.8,3018,2,1,1,127,76,1990,"Hobsons Bay",-37.8686,144.8182,"Western Metropolitan",5301,10,9,4015.74803149606,1,50,1792,82
"95","Altona","4/5 Rose St",2,"u",425000,"Property Sold","hockingstuart","10/09/2016",13.8,3018,2,1,2,115,57,1980,"Hobsons Bay",-37.871,144.8185,"Western Metropolitan",5301,10,9,3695.65217391304,1,50,1792,582
"96","Altona","4/31 Millers Rd",2,"u",391000,"Sold Prior","Greg","11/02/2017",13.8,3018,2,1,1,0,65,1965,"Hobsons Bay",-37.8678,144.8384,"Western Metropolitan",5301,11,2,Inf,1,29,481,138
"97","Altona","24 Wren St",4,"h",845000,"Property Sold","hockingstuart","11/02/2017",13.8,3018,4,1,2,745,130,1950,"Hobsons Bay",-37.8658,144.8155,"Western Metropolitan",5301,11,2,1134.22818791946,1,29,6507,582
"98","Altona","4/57 Blyth St",3,"u",730000,"Sold Prior","Barlow","13/08/2016",13.8,3018,3,2,1,69,141,2014,"Hobsons Bay",-37.868,144.8286,"Western Metropolitan",5301,13,8,10579.7101449275,1,20,481,10
"99","Altona","3/46 Sargood St",2,"u",447000,"Property Sold","Burnham","15/10/2016",13.8,3018,2,1,1,137,77,1990,"Hobsons Bay",-37.8655,144.8299,"Western Metropolitan",5301,15,10,3262.77372262774,1,72,1792,21
"100","Altona","22 Fenfield St",3,"h",678000,"Property Sold","hockingstuart","16/04/2016",13.8,3018,3,1,2,606,87,1950,"Hobsons Bay",-37.8608,144.8124,"Western Metropolitan",5301,16,4,1118.81188118812,1,63,6507,582
"101","Altona","5/8 David St",2,"u",580000,"Passed In","Biggin","16/07/2016",13.8,3018,2,2,1,175,76,2013,"Hobsons Bay",-37.8687,144.8268,"Western Metropolitan",5301,16,7,3314.28571428571,1,45,361,213
"102","Altona","27 McIntyre Dr",3,"h",840000,"Sold Prior","Greg","18/03/2017",13.8,3018,3,2,2,534,136,1965,"Hobsons Bay",-37.86,144.8245,"Western Metropolitan",5301,18,3,1573.03370786517,1,68,1079,138
"103","Altona","3/20 Mulga St",3,"u",577000,"Property Sold","Williams","23/04/2016",13.8,3018,3,2,1,205,113,2007,"Hobsons Bay",-37.8684,144.815,"Western Metropolitan",5301,23,4,2814.63414634146,1,24,1792,51
"104","Altona","104 Maidstone St",2,"h",857000,"Sold Prior","hockingstuart","27/11/2016",13.8,3018,2,2,1,675,100,1950,"Hobsons Bay",-37.8653,144.8129,"Western Metropolitan",5301,27,11,1269.62962962963,1,75,1079,582
"105","Altona","5/57 Blyth St",3,"u",730000,"Sold Prior","Barlow","28/05/2016",13.8,3018,3,2,1,70,3,2014,"Hobsons Bay",-37.868,144.8285,"Western Metropolitan",5301,28,5,10428.5714285714,1,48,481,10
"106","Altona","2/60 David St",2,"h",535600,"Sold Prior","Compton","30/07/2016",13.8,3018,2,1,1,154,91,1996,"Hobsons Bay",-37.8646,144.8272,"Western Metropolitan",5301,30,7,3477.92207792208,1,39,1079,1
"107","Altona North","45 Hearn St",5,"h",1085000,"Property Sold","FN","3/09/2016",11.1,3025,5,3,6,592,251,1965,"Hobsons Bay",-37.8388,144.8567,"Western Metropolitan",5132,3,9,1832.77027027027,1,43,6507,8
"108","Altona North","4 Knapp St",3,"h",781000,"Property Sold","Jas","3/09/2016",11.1,3025,3,1,2,533,117,1970,"Hobsons Bay",-37.8291,144.835,"Western Metropolitan",5132,3,9,1465.29080675422,1,43,6507,140
"109","Altona North","3/66 Marion St",2,"t",421000,"Property Sold","hockingstuart","4/03/2017",11.1,3025,2,1,1,77,77,2009,"Hobsons Bay",-37.8351,144.8529,"Western Metropolitan",5132,4,3,5467.53246753247,1,74,723,582
"110","Altona North","33 Carthy St",3,"h",683000,"Property Sold","FN","4/06/2016",11.1,3025,3,1,2,534,167,1967,"Hobsons Bay",-37.8284,144.8355,"Western Metropolitan",5132,4,6,1279.02621722846,1,44,6507,8
"111","Altona North","1/5 Little St",3,"h",720000,"Vendor Bid","Greg","6/08/2016",11.1,3025,3,2,1,0,130,2012,"Hobsons Bay",-37.8379,144.8583,"Western Metropolitan",5132,6,8,Inf,1,29,728,138
"112","Altona North","1/95 Mills St",3,"h",588000,"Property Sold","Williams","7/05/2016",11.1,3025,3,1,1,328,118,1970,"Hobsons Bay",-37.838,144.8555,"Western Metropolitan",5132,7,5,1792.68292682927,1,49,6507,51
"113","Altona North","5 Binns St",3,"h",710000,"Passed In","Village","7/11/2016",11.1,3025,3,1,3,540,116,1960,"Hobsons Bay",-37.8294,144.8378,"Western Metropolitan",5132,7,11,1314.81481481481,1,43,1069,82
"114","Altona North","25 Allan St",4,"h",875000,"Sold Prior","Jas","8/10/2016",11.1,3025,3,1,4,559,169,1965,"Hobsons Bay",-37.8448,144.8529,"Western Metropolitan",5132,8,10,1565.29516994633,1,58,1079,140
"115","Altona North","2/36 May St",3,"h",675000,"Property Sold","hockingstuart","14/05/2016",11.1,3025,3,2,2,171,109,2012,"Hobsons Bay",-37.8337,144.8554,"Western Metropolitan",5132,14,5,3947.36842105263,1,47,6507,582
"116","Altona North","11 Beevers St",3,"h",708000,"Property Sold","Greg","15/10/2016",11.1,3025,3,1,2,585,97,1960,"Hobsons Bay",-37.8258,144.8523,"Western Metropolitan",5132,15,10,1210.25641025641,1,72,6507,138
